4	активность обучения или обучения	постепенный процесс приобретения знаний.
3.8	тонкие металлические ленты, используемые в печатании	тонкая металлическая полоска, используемая для разделения линий шрифтов при печати.
4.2	сокол: бросает охоту и преследует меньшую добычу	бросают предполагаемую добычу, поворачиваются и преследуют низшую добычу.
1.8	акт назначения роли кому-то	акт обозначения или идентификации чего-либо.
4	очистить или освободить от греха	быть чистым или свободным от греха или вины.
4	оставить невыполненным или оставить вне	не сделать что-то; оставить что-то незавершенным.
3.6	социальная группа или группа друзей	неофициальное объединение людей или групп.
4.4	Верхняя часть колонны.	верхняя часть колонны, которая поддерживает корпус.
3	погружаться на более низкий уровень; спускаться	погрузиться на более низкий уровень или образовать депрессию.
4.6	создавать код или компьютерные программы	Создавать код, писать компьютерную программу.
3.2	освобождение от заключения, обязательства или бремени	предоставить освобождение или освобождение от правила или требования.
4.4	(Причина) запятнать доброе имя и репутацию.	ложное обвинение или злонамеренное обвинение; посягательство на доброе имя и репутацию кого-либо.
3.4	компания, предоставляющая товары общественной службы	компания, оказывающая общественную услугу; подчиняется государственному регулированию.
4.4	Физическое расширение или распространение наружу от центра или фокуса или внутрь к центру; физическое распространение от начальной точки.	расширяться или распространяться наружу от центра или фокуса или внутрь к центру.
5	Распределять систематически или стратегически; инициировать.	распределять систематически или стратегически.
3.6	создать что-то в уме	формируют мысленный образ чего-то, чего нет или чего-то, чего нет.
4.8	(причиной) становятся менее ясными или нечеткими	чтобы сделать менее отчетливым или ясным.
3.8	освобождены или освобождены от бремени, обязанности или требования	свободный от бремени, зла или скорби.
4.2	прямой протяженностью дороги или гоночной трассы	прямой участок гоночной трассы.
4.2	(причинение) испускать короткий всплеск света	излучают короткий всплеск света.
3.2	растягивается до крайности, вызывая стресс или травму	изменять форму (чего-то) напряжением.
4.4	перемещаются группой или стаей	передвигаться в толпе или группе.
4.8	временное лишение права, отмена привилегии	временное отстранение (от привилегии или должности и т.д.).
4.8	Несовершенство, недостаток.	Качество быть неадекватным или не достигать совершенства.
4.6	очищать слизь от горла	очищать слизь или пищу от горла.
3.6	сохранять, хранить в безопасности, использовать экономно	хранить в безопасности и защищать от повреждения, порчи, потери или разрушения.
4.6	адрес, используемый для почтовой связи	адрес, по которому можно связаться с лицом или организацией.
4	Организация, спонсирующая большое общественное мероприятие	любая организация, предоставляющая ресурсы и средства для проведения мероприятия или мероприятия.
4.2	юридически утвердить или ратифицировать лицо на должность	поддерживать человека на должности.
5	Постарайтесь вылечить заболевание или травму специальным уходом или лечением; лечите внимательно.	попытаться вылечить особым уходом или лечением болезнь или травму.
1.4	все, что имеет форму тонкой полосы	длинный тонкий инструмент, напоминающий длину дерева.
4	контролирующий компонент грамматической составляющей	(грамматика) слово в грамматической составляющей, которое играет ту же грамматическую роль, что и вся составляющая.
3.6	достичь места назначения или цели	достичь места назначения; прибыть движением или прогрессом.
4.5	Увядает, увядает или созревает несовершенно, как цветок.	увядают, вянут или созревают несовершенно.
4.8	Отделиться, прекратить или разорвать связь с чем-либо.	часть; прекратить или разорвать связь с.
3.6	сигнал, который дается кому-то для помощи.	подсказка, данная исполнителю (обычно начало следующей строки).
1.6	сделать более распространенным, однородным или общим	использовать конкретные случаи для более общих случаев.
4.8	(вызывает) разрыв или открытие, обычно с резким звуком	взорвался с резким, взрывчатым звуком.
3.4	Осуществлять (ненадлежащие) претензии на владение.	делать необоснованные претензии на владение.
4.8	политический глава городского правительства	глава городского правительства.
4.2	чтобы заставить замолчать	успокоиться или замолчать; замолчать.
4	Больше вперед, прыгая или проскакивая.	продвигаться вперед шагами.
4.4	уступить право или владение другому	отказаться или согласиться отказаться от власти или владения другим.
4.6	как логическое следствие, следует	приходят как логическое следствие; следуют логически.
5	событие постепенного исчезновения из виду	событие угасания и постепенного исчезновения из виду.
4	чувствовать беспокойство, беспокойство, беспокойство или опасения по поводу	испытывать страх, беспокойство или опасения по поводу возможной или вероятной ситуации или события.
3.8	перемещаются или имеют форму зигзага	Путешествуйте по зигзаговой дорожке.
5	создать беспорядок или беспорядок	создать беспорядок или создать беспорядок.
5	состояние занятости	состояние трудоустройства или трудоустройства.
4.8	скульптура человека или животного	скульптура, изображающая человека или животное.
1.75	(абстракт) характеризуют, отмечают, делают особенными (или уважительными)	быть отличительной чертой, атрибутом или чертой; иногда в очень положительном смысле.
4	управляя или путешествуя на транспортном средстве	путешествовать или перевозиться в транспортном средстве.
4.2	(причиной) падения или снижения до более низкого места, уровня или значения	падать или спускаться в более низкое место или уровень.
4	способность вспоминать вещи	Способность вспоминать прошлые события.
3.4	Живой агент произносит звук, как будто в ярости.	произнести с плюющим звуком, как будто в ярости.
3.2	шум чего-то, стучащего по поверхности.	звук стука (например, в дверь, двигатель или подшипник).
2.6	Попроси и получишь что-нибудь бесплатно.	попроси и освободись; будь паразитом.
1.6	общее условие надежности системы или машины	общее состояние тела и ума.
4.4	территория, огороженная стенами или зданиями	площадь, полностью или частично окруженная стенами или зданиями.
4.4	увеличение ставки или ставки на игру в 2 раза	Повышение ставок в карточной игре в два раза.
3	акт сдачи актива	акт потери или сдачи чего-либо в качестве наказания за ошибку, проступок или невыполнение и т. д.
2.8	защищать или выступать против критики или оппозиции	защищать или сражаться как чемпион.
4	Отношения родства или гармонии между людьми.	взаимосвязь родства или гармонии между людьми; все, что влияет на одного, соответствующим образом влияет на другого.
4	кроме опыта, действия или вреда	спасти или избавить от опыта или действия.
4.8	Идите вокруг края.	Беги вокруг края.
0.8	принимать (психически или физически)	принимать (газ, свет или тепло) в раствор.
4.2	отделить (как будто) проходя через сито	отделить, проходя через сито или другое напрягающее устройство для отделения более грубых элементов.
5	культивируемое растение, которое сейчас растет в дикой природе	Растение, первоначально культивируемое, но теперь растущее в дикой природе.
5	ускорить процесс	ускорить прогресс; облегчить.
4.8	Доказать; показать своим поведением, отношением или внешними атрибутами; воплотить.	предоставлять доказательства; стоять в качестве доказательства; показывать своим поведением, отношением или внешними атрибутами.
4.2	компьютерная программа, выполняющая системную поддержку	(компьютерная наука) программа, предназначенная для общей поддержки процессов компьютера.
4.4	продолжительность временного прекращения	промежуток времени, в течение которого происходит временное прекращение чего-либо.
3.4	ритмическое толкание ног при плавании	Ритмическое толкательное движение ног, как при плавании или гимнастике.
3.8	Сделайте его более умеренным, приемлемым или подходящим.	сделать более умеренным, приемлемым или подходящим, добавив что-то еще; умеренным.
4.6	Ограничить в или как в тюрьме	Ограниченный, как в тюрьме.
4.2	делать любовные или сексуальные предложения	приблизиться с предложением сексуальных услуг.
3.75	Принизить силой, запугиванием или властью, как человека; исправить наказанием или дисциплиной.	исправить наказанием или дисциплиной.
2.8	расщепляют твердое вещество, обычно в раствор	Причины, по которым мы входим в раствор.
4.6	Движение (физическое или абстрактное) назад от удара.	движение назад после удара.
4.6	акт использования чего-то.	Действие ввода чего-либо в эксплуатацию.
0.4	Расслабься, успокойся, веди себя дружелюбно.	Разпутать и поднять волокна.
3.2	физический каркас пересекающих полос, часто деревянный	каркас, состоящий из декоративной конструкции, изготовленной из полос дерева или металла.
3.6	распределенный отчет о задолженности	распределенный денежный отчет о задолженности за поставленные товары или оказанные услуги.
4.6	положительно заряженная центральная часть атома	положительно заряженный центр атома.
3.8	Событие, которое приводит к тому, что кто-то или что-то умирает.	событие, в результате которого кто-то умирает.
0.8	указывают на решение или прогноз	заявлять в качестве судьи или арбитра.
4.6	активное состояние, суета	Свойство быть активным; двигаться или действовать быстро и энергично.
4	вызывают пробуждение или бодрствование	Причина быть бдительным и энергичным.
4.6	Просмотрите книгу или другой письменный материал (для получения информации).	прочесть книгу или другой письменный материал.
5	заключение сообщения	последняя часть сообщения.
4	Встреча или встреча на социальном или профессиональном уровне	по профессиональным или деловым причинам.
4.4	собравшаяся группа зрителей на спектакле	собрание зрителей или слушателей на (обычно публичном) представлении.
3.6	давать межстрочные объяснения или цитаты для текста	предоставлять межстрочный перевод слова или фразы.
3.6	Оставь кому-нибудь после смерти.	оставить или дать по завещанию после смерти.
3	вызывают вибрацию по другому шаблону	заставить вибрировать в определенной последовательности.
3.8	принуждать, заставлять или настаивать на чем-то	заставить себя вести себя определенным образом.
0.4	Нарисуй крест в воздухе над чем-нибудь.	путешествовать или проходить мимо.
4.2	отдавать то, что нам не нужно	отказаться от того, что не является абсолютно необходимым.
4.6	Они становятся менее интересными, привлекательными или энергичными.	становятся менее интересными или привлекательными.
4.4	у вас есть разногласия или ссоры из-за чего-то	у вас есть разногласия по поводу чего-то.
1.4	переносить или переживать болезненное событие	по поводу травм и болезней.
4	способ, которым что-то или кто-то функционирует или действует	процесс или способ функционирования или эксплуатации.
4	событие, приходящее к остановке, окончанию чего-то	что-то заканчивается.
4.4	Возвращение в прежнее состояние	Вернуться в первоначальное состояние.
4.6	Соединенные Штаты, особенно Север во время Гражданской войны	Соединенные Штаты (особенно северные штаты во время Гражданской войны в Америке).
4	(причиняет) перегрузку или перезарядку	накладывает слишком большую нагрузку.
3.4	акт замены одной вещи на другую	акт предоставления эквивалентного лица или вещи вместо другого.
3.4	вообразить; сформировать мысленную картину чего-либо	формировать мысленную картину чего-то невидимого или абстрактного.
3.4	указывают на решение или прогноз	указать решение в отношении.
5	нести бремя, реальное или метафорическое.	нести бремя, реальное или метафорическое.
2.8	Официальное задание или предприятие, обычно финансируемое	любая работа, которая была предпринята или попытка была предпринята.
3.2	полная гаплоидная последовательность ДНК организма	упорядочение генов в гаплоидном наборе хромосом конкретного организма; полная последовательность ДНК организма.
4.6	печать или штамп с блоком	напечатать или выгравировать название или рисунок на книге с помощью блока.
3.8	(медицина) способность организма защищаться от болезни.	(медицина) состояние, при котором организм может сопротивляться болезни.
5	стадо овец или коз	группа овец или коз.
3.8	единица атмосферного давления	(метеорология) единица давления, равная миллиону динов на квадратный сантиметр.
3	победный удар в теннисе против подачи соперника	(Теннис) счет, состоящий из победы в игре, когда ваш соперник подавал.
4.4	Посланник, отправленный на миссию от имени кого-то.	кто-то, отправленный на миссию, чтобы представлять интересы кого-то другого.
4.6	акт принятия предложения	акт принятия того, что предлагается.
4.8	ударить или вернуться до того, как он коснется земли	ударить до того, как он коснется земли.
3.4	Оружие, подобное мечу.	Оружие с длинным металлическим лезвием и рукояткой с ручной защитой.
3.8	смешивать или разводить вещи разных сортов или качеств	разводить животных или растения, используя родителей разных рас и сортов.
3.8	Ходите тяжело и твердо (как кошка), как будто вы устали или ходите по мягкой местности.	ходить тяжело и твердо, как в усталости, или через грязь.
3.4	проявлять нежелательное сексуальное внимание к	нежелательное сексуальное внимание.
4.4	Освобождение (газа или энергии) в результате химической реакции или физического разложения (возможно, в метафорическом смысле)	высвобождение (газа или энергии) в результате химической реакции или физического разложения.
4.8	Показать пьесу или передачу	Например, повторить постановку пьесы.
1.4	фигуративная позиция по отношению к другим позициям, как в аргументах	положение, заданное его расположением в стороне от объекта.
3	состояние под контролем	состояние контролируемого или управляемого.
4.8	гонка автомобилей на общественных дорогах	гонка автомобилей, проходящая по общественным дорогам.
5	Сумма, которую можно содержать	объем, который может быть сдержан.
4.2	предъявить иск о возмещении вреда, причиненного	возбудить судебный процесс против; подать иск против.
3	перемещаться и оставаться в определенном положении	поместить в определенное место или абстрактное место.
4.4	Открывающий удар в бильярде или бильярде	Открывающий удар, который рассеивает шары в бильярде или бильярде.
3.8	инструмент пытки, применяемый к стопе и ноге.	орудие пыток, используемое для нагрева или раздавливания стопы и ноги.
4.91666666666667	(причиной) разделения или перемещения в разных направлениях	чтобы вызвать разделение и идти в разных направлениях.
3	Установленное или признанное право, формальное или неформальное.	Неофициальное право на что-то.
2.8	что-нибудь из источника	акт получения или слива чего-то, такого как электричество или жидкость из источника.
4.6	общаться или сообщать через жесты, действия или знаки	общаться молча и невербально с помощью сигналов или знаков.
4.8	ударить верхнюю часть мяча давая ему вперед вращение	удар (верхняя часть мяча в гольфе, бейсболе или бильярде), делая вращение вперед.
5	акт расходования, выделения средств	акт расходования или выплаты денег.
0	запись музыкальных треков, сделанных на каком-либо носителе	траншея, напоминающая ров, созданный эрозией или раскопками.
3.6	врожденная способность или талант	способность, которую можно развить.
4.6	Сделать либеральным или более либеральным, стать более либеральным, обычно с точки зрения законов или правил.	сделать либеральные или более либеральные законы и правила.
3.6	свободный от обязанностей, службы или заключения	свободны от обязательств или обязанностей.
4.6	внезапно свернуть часть тела так, чтобы растянуться	поворачивается внезапно, чтобы растянуться.
3.2	причина или источник стресса, беспокойства	трудности, вызывающие беспокойство или эмоциональное напряжение.
3.6	состояние власти, управляющей или доминирующей в обстоятельствах	деятельность по управлению или осуществлению контроля над чем-либо.
0.6	двигаться (как будто) снижая	Приходишь, как будто падая.
4.2	Обработка или очистка в реверберационной печи	обрабатывать, перерабатывать, нагревать, плавить или рафинировать в реверберационной печи.
4.8	экономический термин: повышение экономического спроса, расширение денежной массы или повышение цен, чтобы испытать рефляцию	экономика: повысить спрос, расширить денежную массу или повысить цены после периода дефляции.
3	чистый, очищающийся или способный быть очищенным	очищать чистящим средством, таким как мыло и вода.
2.4	Призывать к действию или приводить в существование, часто как по волшебству; просить о помощи или защите.	просить (что-то от кого-то); просить помощи или защиты.
3.6	акт бросания бейсбольного мяча	(бейсбол) акт бросания бейсбольного мяча питчером в бита.
4.6	Разорвать кожу (части тела) с помощью царапин; ударить что-то другое.	раздавить кожу (части тела) насквозь.
4.8	Выделить или посвятить; отложить или отделить для определенной цели или использования.	отложенные или отделенные для конкретной цели или использования.
2.8	(попытка) убедить записаться, присоединиться или участвовать	официально зарегистрироваться в качестве участника или члена.
3.4	дать конкретное толкование	поворачивается и поворачивается, чтобы дать желаемую интерпретацию.
4.4	Организовывайтесь заново, как после неудачи; собирайте или составляйте себя.	организовываться заново, как после неудачи.
4.6	попасть в ловушку или как будто в ловушку; обездвижить	Поймать или как будто в ловушку.
4.8	исключительная, привилегированная группа людей	исключительная группа людей.
4.4	Вступают в конфликт, встречаются в оппозиции.	быть несовместимыми; быть или вступать в конфликт.
4.6	реагировать или реагировать на вызов, команду или стимул	реагировать на стимул или команду.
3.4	предоставить саундтрек или озвучку	предоставлять (фильмы) с саундтреком на иностранном языке.
4.4	рычаг, который активирует механизм стрельбы, особенно с огнестрельным оружием	рычаг, который активирует механизм стрельбы пистолета.
4.85	Содействовать прогрессу или росту.	способствовать прогрессу или росту.
0	заставить чье-то внимание, цели, мысли повернуться в другом направлении	заниматься приятным, развлекательным или приятным образом.
0	Человеческий акт создания чего-то нового.	событие, которое произошло в начале чего-то.
4.6	перемещаются или собираются в улье	движутся вместе в улье или как будто в улье.
4	полоскать рот водой для полоскания рта, полоскать горло	полоскать рот и горло водой для полоскания рта.
4.6	Предоставить или оборудовать специально мебелью.	предоставить или оснастить мебелью.
2	Сделать или создать что-то для определенной функции.	создавать из компонентов (часто импровизирующим образом).
4.8	минимальная зарплата работника, разрешенная законом	минимальная заработная плата, которую работодатель может выплачивать; определяется договором или законом.
4.2	водянистое гниение на продуктах, вызванное грибком	Мягкое водянистое гниение фруктов и овощей, вызванное грибками.
4.4	помещение, где выполняются работы или ремонты	комната, где делается работа.
4.4	Разрезать или удалить, прищипывая или отрезая; уделять внимание, разрезая.	отрезать или удалить, щелкнув или отрезав.
2.8	компрессировать без формы или на мелкие кусочки	могут быть повреждены, сломаны или искажены давлением.
4.4	один высокий камень, например, обелиск или памятник	один большой камень (часто в виде колонны или обелиска).
4.2	(причина) постепенно ослабевать	вызывают истончение или ослабление.
4.7	двигаться или выполнять очень быстро или поспешно	бегать или двигаться очень быстро или поспешно.
4.8	Докажите или предположите, что это ложно или неправильно.	оказаться ложными или неточными.
2.8	(причина) быть покрытым чем-то	предоставить покрытие или причину для покрытия.
3.4	носить в рюкзаке, ездить на прогулку	носить, как на спине.
3.2	(Причина) разделить на составляющие, ослабить или уничтожить специально путем промывания.	разделить на составляющие путем просачивания.
4.6	GRATE ON: эмоционально грызть; вызывать обиду или гнев.	Грызть в; сделать обидчивым или злым.
4.6	яркость или удар с интенсивностью	блеск или удар с большой интенсивностью.
4.2	законная часть или доля чего-либо	(право) право или юридическая доля чего-либо; финансовое участие в чем-либо.
4.6	Быть блестящим; быть физическим или метафорическим источником света.	сияет ярко, как звезда или свет.
3.6	вращающееся движение объекта	вращательное движение объекта вокруг своей оси.
4.4	романтический партнер, девушка или парень	(Сленг) девушка или парень человека.
5	хватать, проникать или отрывать зубами или челюстями или как будто зубами или челюстями	хватать, отрезать или рвать зубами или челюстями.
1.2	превзойти или превзойти, выйти за пределы, быть больше чем что-то	Пройти мимо, через или под без контакта.
4.2	наиболее внешняя часть колеса автомобиля или грузовика	внешняя часть колеса, к которой прикреплена шина.
4.4	чтобы получить что-то взамен.	чтобы вернуть (ваучеры или купоны) и получить что-то взамен.
5	акт восприятия запаха	акт восприятия запаха чего-то.
4.4	относительная темность цвета	относительная темнота или светлость цвета.
2.8	выражать или преобразовывать в новой форме или языке	переход из одной формы или среды в другую.
3.6	освежить, сделать свежим; освежить	стать или сделать себя свежим снова.
3.8	рабочее место для производства или ремонта	небольшое рабочее место, где выполняются ремесла или производство.
4.6	относятся к двум таксономическим группам	быть промежуточным между двумя таксономическими группами.
4.6	Бульбашки с определенным чувством.	переполнен определенным чувством.
4	подбирают, как будто ложкой	подбирать, погружая руку или ложку под поверхность.
4.2	Противодействие какой-либо другой социальной или военной силе.	Военные действия, направленные на сопротивление продвижению врага.
2.4	Наклон или изгиб; изменчивая конфигурация.	наклоняться или изгибаться из вертикального положения.
4.6	(причиняет) распыление или влажность при попадании жидкости	Намоченный струей жидкости.
4.6	Быстро двигаться (головой или телом) вниз или подальше (от чего-либо).	двигаться (головой или телом) быстро вниз или в сторону.
3.8	Определенная часть целого	одна из нескольких частей или кусочков, которые соединяются друг с другом, образуя целый объект.
4.4	Соединять или прикреплять (как будто) с помощью клея, возможно, для покрытия поверхности объекта.	соединять или прикреплять с помощью или как будто с помощью клея.
3.4	перемещаться из одного места в другое	перемещение из одного места или периода в другое.
4.8	сделать большие умственные или физические усилия	приложить большие усилия к умственной или физической задаче.
3.2	Рыболовство-выпуск, позволяя тянуть на линии	выхлоп, позволяя затягивать шнур.
4.8	полностью использовать ресурс	Используйте весь запас.
